season,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
4,11,11,1,4,0,1,0.42,0.4242,0.41,0.0896
1,12,13,0,5,1,2,0.3,0.303,0.49,0.1343
4,11,18,0,3,1,1,0.44,0.4394,0.67,0.1045
4,10,16,0,4,1,1,0.7,0.6515,0.54,0.2836
4,12,17,0,0,0,1,0.28,0.3182,0.3,0
1,1,16,0,2,1,2,0.22,0.2273,0.87,0.194
4,11,0,0,1,1,1,0.22,0.2727,0.69,0
1,2,12,0,3,1,1,0.38,0.3939,0.32,0.3284
3,7,6,0,6,0,1,0.74,0.7121,0.74,0.1045
1,2,11,0,0,0,1,0.12,0.1061,0.42,0.2985
2,5,5,0,1,1,2,0.54,0.5152,0.94,0
2,3,22,0,5,1,1,0.36,0.3485,0.71,0.1642
2,4,8,1,5,0,1,0.44,0.4394,0.62,0.2985
1,1,20,0,2,1,1,0.12,0.1212,0.33,0.2537
4,10,2,0,0,0,2,0.5,0.4848,0.68,0.2985
2,3,16,0,6,0,3,0.5,0.4848,0.94,0.2985
3,8,15,0,1,1,1,0.82,0.7273,0.34,0.2239
3,7,16,0,3,1,1,0.74,0.697,0.66,0.2537
3,8,19,0,4,1,2,0.66,0.6061,0.78,0.3284
1,1,16,0,1,1,2,0.24,0.2424,0.93,0.1642
4,11,1,0,0,0,1,0.34,0.3485,0.76,0.0896
3,8,14,0,4,1,1,0.82,0.7121,0.32,0
2,4,6,0,3,1,1,0.24,0.2576,0.7,0.1045
1,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045
2,6,10,0,0,0,2,0.7,0.6515,0.61,0.1045
1,2,1,0,3,1,1,0.28,0.2727,0.61,0.1642
2,5,22,0,4,1,3,0.5,0.4848,0.82,0.2985
2,6,18,0,5,1,3,0.62,0.5606,0.88,0.3582
4,11,12,0,3,1,2,0.32,0.303,0.53,0.2836
2,3,14,0,3,1,2,0.56,0.5303,0.78,0
4,12,12,0,1,1,2,0.4,0.4091,0.87,0
3,6,8,0,4,1,2,0.74,0.697,0.7,0.194
1,1,23,0,2,1,3,0.16,0.197,0.93,0.0896
1,2,5,0,2,1,1,0.22,0.1818,0.32,0.4627
3,8,5,0,0,0,2,0.6,0.5909,0.73,0.1343
1,1,6,0,3,1,1,0.2,0.197,0.47,0.2239
2,6,23,0,5,1,1,0.58,0.5455,0.46,0.1045
3,7,22,0,0,0,1,0.78,0.7576,0.66,0
3,7,12,0,6,0,1,0.76,0.6818,0.43,0.2836
3,7,2,0,3,1,1,0.7,0.6667,0.84,0
3,7,16,0,2,1,1,0.9,0.8485,0.42,0.2985
2,6,19,0,3,1,1,0.88,0.7879,0.37,0.2537
2,6,5,0,3,1,1,0.48,0.4697,0.77,0
4,11,18,0,0,0,2,0.54,0.5152,0.64,0.194
3,9,9,0,6,0,2,0.66,0.6212,0.69,0.2537
3,7,13,0,0,0,1,0.94,0.8788,0.38,0.2537
3,6,23,0,4,1,1,0.74,0.6667,0.48,0.1343
4,11,19,0,0,0,1,0.36,0.3485,0.66,0.1642
3,8,17,0,2,1,1,0.72,0.6515,0.34,0.2239
3,7,13,0,0,0,2,0.7,0.6515,0.65,0.0896
2,6,12,0,0,0,1,0.62,0.6212,0.57,0
1,3,15,0,4,1,1,0.64,0.6212,0.38,0.6866
2,4,20,0,3,1,1,0.64,0.5758,0.83,0.3284
2,4,1,0,4,1,1,0.52,0.5,0.45,0.2239
4,12,13,0,1,1,2,0.3,0.3182,0.52,0.1045
1,3,1,0,4,1,1,0.24,0.197,0.3,0.4627
1,3,18,0,2,1,1,0.32,0.3182,0.39,0.194
2,6,12,0,6,0,1,0.62,0.6212,0.43,0.3582
1,2,0,0,4,1,1,0.2,0.1667,0.4,0.4478
1,2,4,0,6,0,3,0.22,0.2273,0.93,0.1343
4,11,14,0,3,1,1,0.36,0.3485,0.43,0.1343
4,10,8,0,0,0,1,0.44,0.4394,0.77,0.194
3,6,2,0,4,1,1,0.72,0.697,0.79,0.1045
2,5,12,0,1,1,2,0.56,0.5303,0.88,0.2836
3,9,21,0,4,1,1,0.56,0.5303,0.64,0.194
1,3,20,0,4,1,1,0.44,0.4394,0.44,0.4179
3,8,3,0,6,0,1,0.62,0.5606,0.88,0.194
2,4,15,0,2,1,1,0.6,0.5909,0.2,0.194
1,12,13,0,5,1,1,0.4,0.4091,0.5,0.4627
3,8,2,0,4,1,1,0.64,0.6061,0.69,0.194
4,10,17,1,1,0,2,0.66,0.6212,0.54,0.1045
