season,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
1,12,16,0,5,1,1,0.42,0.4242,0.47,0.194,283
4,10,9,0,0,0,2,0.5,0.4848,0.55,0.4179,330
3,9,1,0,0,0,2,0.62,0.5606,0.88,0,88
3,6,22,0,3,1,1,0.7,0.6364,0.42,0.194,183
3,7,12,0,1,1,2,0.8,0.7424,0.52,0.1642,314
2,5,19,0,0,0,1,0.76,0.7121,0.58,0.194,442
2,5,20,0,2,1,2,0.64,0.6061,0.69,0.2836,302
2,6,11,0,2,1,3,0.66,0.6061,0.83,0.3582,65
3,9,2,0,3,1,1,0.54,0.5152,0.94,0,6
2,4,7,0,3,1,2,0.58,0.5455,0.88,0.2836,246
2,5,10,0,4,1,1,0.64,0.6061,0.65,0.1343,185
3,6,18,0,2,1,2,0.76,0.7273,0.7,0.2537,536
4,10,13,0,6,0,2,0.64,0.6212,0.57,0.5224,710
2,4,8,0,6,0,1,0.4,0.4091,0.54,0.2985,91
4,11,14,0,5,1,1,0.52,0.5,0.39,0.2239,272
3,7,7,0,0,0,1,0.8,0.803,0.66,0,52
1,2,22,0,0,0,1,0.26,0.2727,0.6,0.1045,191
3,8,13,0,0,0,1,0.76,0.6818,0.45,0.3582,431
4,12,7,0,1,1,1,0.14,0.1515,0.86,0.1343,235
3,7,7,0,5,1,2,0.7,0.6515,0.54,0,380
1,2,14,0,4,1,1,0.6,0.6212,0.31,0.2239,81
1,3,3,0,5,1,2,0.18,0.1667,0.74,0.2537,1
3,7,15,0,5,1,2,0.8,0.7121,0.36,0.1045,353
4,11,2,0,0,0,1,0.32,0.3333,0.87,0.1045,70
3,7,0,0,5,1,1,0.62,0.5909,0.73,0.2239,80
2,6,21,0,6,0,1,0.74,0.6515,0.4,0.194,316
2,3,0,0,3,1,2,0.32,0.3485,0.57,0,11
4,12,4,0,6,0,2,0.26,0.2727,0.65,0.1045,3
2,6,4,0,1,1,1,0.56,0.5303,0.94,0.1045,8
3,8,18,0,6,0,1,0.74,0.6515,0.37,0.1642,554
3,8,3,0,0,0,2,0.7,0.6667,0.84,0.1343,32
1,3,5,0,3,1,1,0.44,0.4394,0.82,0.1343,27
4,10,22,0,5,1,1,0.5,0.4848,0.68,0,146
1,2,11,0,6,0,1,0.3,0.2727,0.28,0.3284,114
3,7,22,0,2,1,2,0.64,0.5758,0.83,0.1343,139
2,5,1,0,4,1,1,0.6,0.5606,0.83,0.1642,28
3,8,1,0,1,1,1,0.72,0.697,0.79,0.0896,11
4,10,10,0,2,1,2,0.56,0.5303,0.68,0,102
1,1,6,0,2,1,1,0.16,0.1818,0.74,0.1045,36
4,9,10,0,1,1,2,0.64,0.5758,0.89,0.194,154
4,12,12,0,5,1,1,0.36,0.3333,0.57,0.2985,173
1,12,13,0,6,0,1,0.34,0.303,0.39,0.2985,121
1,2,10,0,4,1,1,0.42,0.4242,0.67,0.194,148
4,12,19,0,2,1,3,0.46,0.4545,1,0.2985,233
4,10,15,0,6,0,2,0.42,0.4242,0.71,0.2836,195
3,7,20,0,5,1,1,0.78,0.7424,0.59,0.1045,354
1,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,4
4,11,21,0,2,1,2,0.5,0.4848,0.77,0.0896,168
4,10,9,0,1,1,1,0.46,0.4545,0.63,0.0896,360
1,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,36
1,12,11,0,3,1,2,0.48,0.4697,0.82,0.4179,56
1,3,1,0,4,1,1,0.5,0.4848,0.59,0.1045,23
1,1,11,0,6,0,1,0.34,0.3182,0.57,0.2239,324
3,7,20,1,3,0,1,0.86,0.803,0.47,0.2239,551
4,11,4,0,5,1,1,0.22,0.2273,0.44,0.1642,5
3,7,13,0,6,0,1,0.76,0.6818,0.45,0.2985,497
4,10,16,0,0,0,1,0.52,0.5,0.55,0.194,405
1,2,8,0,5,1,3,0.36,0.3485,0.93,0.1343,73
4,11,11,0,6,0,1,0.38,0.3939,0.54,0.2836,315
2,5,22,0,4,1,2,0.64,0.5909,0.78,0.1045,243
4,9,13,0,2,1,2,0.7,0.6667,0.74,0.2239,151
1,2,13,0,3,1,1,0.4,0.4091,0.43,0.2836,170
1,2,22,0,5,1,2,0.24,0.2424,0.65,0.1642,46
4,10,0,0,2,1,2,0.4,0.4091,0.87,0.0896,27
4,12,13,0,3,1,2,0.36,0.3636,0.57,0.1045,133
4,9,17,0,1,1,1,0.58,0.5455,0.3,0,898
2,6,4,0,6,0,1,0.54,0.5152,0.68,0.1343,8
1,3,7,0,6,0,2,0.36,0.3485,0.93,0.1343,16
3,8,11,0,3,1,2,0.74,0.6818,0.58,0.194,235
3,7,18,0,2,1,2,0.86,0.7424,0.3,0,627
3,7,7,0,5,1,2,0.74,0.7121,0.79,0.0896,254
2,6,5,0,4,1,2,0.6,0.6212,0.56,0.2537,40
3,8,0,0,4,1,1,0.64,0.6061,0.69,0,65
1,3,14,0,0,0,1,0.4,0.4091,0.3,0,279
3,6,2,0,1,1,3,0.62,0.5909,0.78,0.1343,6
3,7,6,0,0,0,2,0.62,0.5758,0.83,0.0896,19
4,10,23,0,6,0,1,0.42,0.4242,0.58,0.2985,125
2,5,9,0,5,1,1,0.54,0.5152,0.68,0.2239,234
2,5,18,0,6,0,2,0.66,0.6212,0.31,0.194,546
3,9,19,0,1,1,2,0.56,0.5303,0.68,0.1045,374
3,9,15,0,5,1,2,0.7,0.6515,0.61,0.2537,346
1,3,7,0,4,1,1,0.32,0.3333,0.76,0.1343,140
1,12,22,0,0,0,1,0.24,0.2576,0.6,0.1045,58
2,4,18,0,3,1,1,0.52,0.5,0.29,0.3582,325
3,7,7,0,5,1,1,0.66,0.6212,0.54,0.1045,243
1,1,18,0,0,0,1,0.12,0.1212,0.3,0.2537,49
1,1,13,0,1,1,2,0.26,0.2727,0.56,0.1045,80
3,7,19,0,3,1,1,0.82,0.8485,0.67,0.1642,382
3,7,5,0,4,1,2,0.72,0.6818,0.7,0.1045,40
1,1,20,0,4,1,2,0.26,0.2424,0.6,0.2836,126
4,10,12,0,6,0,1,0.62,0.6212,0.35,0,446
3,7,9,0,1,1,1,0.74,0.697,0.67,0.2239,203
3,9,10,0,4,1,2,0.64,0.5758,0.89,0.2239,120
4,12,17,0,4,1,2,0.52,0.5,0.59,0.2836,324
4,12,18,0,4,1,1,0.32,0.3333,0.42,0.1045,466
4,9,23,0,0,0,1,0.48,0.4697,0.72,0.0896,57
2,6,5,0,1,1,3,0.62,0.5758,0.83,0.1343,3
3,7,17,0,3,1,1,0.74,0.697,0.7,0.2537,370
4,10,10,0,2,1,3,0.58,0.5455,0.88,0.1343,45
