age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
31, Private,162572, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
42, Private,113770, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
36, Self-emp-not-inc,27053, HS-grad,9, Separated, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
52, Private,25826, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1887,47, United-States, >50K
42, Private,106900, Assoc-voc,11, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private,200323, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
45, Private,112362, 10th,6, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
38, Private,215917, Some-college,10, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Philippines, <=50K
34, ?,133861, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,25, United-States, <=50K
27, ?,291547, Bachelors,13, Married-civ-spouse, ?, Not-in-family, Other, Female,0,0,6, Mexico, <=50K
30, Private,237903, Some-college,10, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, <=50K
59, Self-emp-not-inc,116878, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Greece, <=50K
20, ?,53738, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,60, United-States, <=50K
32, Private,173730, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,7688,0,40, United-States, >50K
25, Private,130793, Some-college,10, Divorced, Other-service, Not-in-family, White, Male,0,0,30, United-States, <=50K
57, Private,303986, 5th-6th,3, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Cuba, <=50K
34, Private,190040, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
68, Private,224338, Assoc-voc,11, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Private,108293, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,0,0,24, United-States, <=50K
19, Private,69927, HS-grad,9, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,16, United-States, <=50K
46, State-gov,312015, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
29, Private,393264, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, ?,76437, Some-college,10, Divorced, ?, Unmarried, White, Female,0,0,40, United-States, <=50K
36, Private,215373, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,70, United-States, <=50K
40, Private,202872, Assoc-acdm,12, Never-married, Adm-clerical, Own-child, White, Female,0,0,45, United-States, <=50K
